,,1,2,3,4,5,6,,7,8,9,10,11,12,,13,14,15,16,17,18,,19,20,21,22,23,24,,,,,
Atividade/Chuva,"PRODUTIVIDADE
ESPERADA",Segunda,Ter├ºa,Quarta,Quinta,Sexta,S├íbado,Domingo,Segunda,Ter├ºa,Quarta,Quinta,Sexta,S├íbado,Domingo,Segunda,Ter├ºa,Quarta,Quinta,Sexta,S├íbado,Domingo,Segunda,Ter├ºa,Quarta,Quinta,Sexta,S├íbado,Domingo,,,,
,,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7,Dia 8,Dia 9,Dia 10,Dia 11,Dia 12,Dia 13,Dia 14,Dia 15,Dia 16,Dia 17,Dia 18,Dia 19,Dia 20,Dia 21,Dia 22,Dia 23,Dia 24,Dia 25,Dia 26,Dia 27,Dia 28,,,,
,,14/09/26,15/09/26,16/09/26,17/09/26,18/09/26,19/09/26,20/09/26,21/09/26,22/09/26,23/09/26,24/09/26,25/09/26,26/09/26,27/09/26,28/09/26,29/09/26,30/09/26,01/10/26,02/10/26,03/10/26,04/10/26,05/10/26,06/10/26,07/10/26,08/10/26,09/10/26,10/10/26,11/10/26,"Acumulado
Miss├úo","Meta da
Miss├úo","Percentual
de Avan├ºo","
"
Chuva (mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Indefinido,#VALUE!,
Escava├º├úo drenagem para canaletas,80m/dia,RECEBIMENTO DO SERVI├çO,80,80,80,80,,,80,80,80,80,80,,,80,80,80,80,80,,,80,80,80,80,80,,,1520,1520,"100,00%",
Lastro de concreto drenagem para canaletas,50m/dia,,50,50,50,50,,,50,50,50,50,50,,,50,50,50,50,50,,,50,50,50,50,50,,,950,950,"100,00%",
Assentamento de canaletas,50m/dia,,50,50,50,50,,,50,50,50,50,50,,,50,50,50,50,50,,,50,50,50,50,50,,,950,950,"100,00%",
Arremates de juntas canaletas,30m/dia,,30,30,30,30,,,30,30,30,30,30,,,30,30,30,30,30,,,30,30,30,30,30,,,570,570,"100,00%",
Terraplenagem faixa de pista: faixa 20mx60m,04 faixas/dia,,4,4,4,4,,,4,4,4,4,4,,,4,4,4,4,4,,,4,4,4,4,4,,,76,76,"100,00%",
Base com aplica├º├úo de caulim (prepara├º├úo para o TSD - acostamento),3 dias,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,3,"3,00","100,00%",
Camada do TSD no acostamento,1 dia,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,"100,00%",
Terraplenagem na ├írea de projeto da caixa separadora de ├ígua e ├│leo,2 dias,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,2,"100,00%",
Escava├º├úo para caixa separadora de ├ígua e ├│leo,1 dia,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,"100,00%",
Arma├º├úo da estrutura da caixa separadora de ├ígua e ├│leo,20 dias,,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,1,,,19,19,"100,00%",
Concretagem tampas das canaletas na lateral do p├ítio (75cmx45cm),10 tampas / dia,,10,10,10,10,,,10,10,10,10,10,,,10,10,10,10,10,,,10,10,10,10,10,,,190,190,"100,00%",
Infra do balizamento,30m/dia,,30,30,30,30,,,30,30,30,30,30,,,30,30,30,30,30,,,30,30,30,30,30,,,570,570,"100,00%",
Confer├¬ncia geral no projeto de balizamento,3 dias,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3,3,"100,00%",
